dot,density,n_cols,n_rows,format
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.01,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.000997,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.001001,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
0.0,0.001,10,10,full
