,;utc_timestamp;price
414,414;95383;37.88
415,415;95384;34.74
416,416;95385;34.65
417,417;95386;33.86
418,418;95387;33.13
419,419;95388;31.04
420,420;95389;31.06
421,421;95390;31.79
422,422;95391;35.99
423,423;95392;39.96
424,424;95393;39.98
425,425;95394;39.02
426,426;95395;34.06
427,427;95396;34.02
428,428;95397;27.66
429,429;95398;17.88
430,430;95399;13.57
431,431;95400;13.79
432,432;95401;Dez 69
433,433;95402;Dez 85
434,434;95403;15.18
435,435;95404;20.56
436,436;95405;18.58
437,437;95406;20. Feb
438,438;95407;33.36
439,439;95408;37.01
440,440;95409;41.08
441,441;95410;41.0
442,442;95411;40.1
443,443;95412;39.24
444,444;95413;36.97
445,445;95414;36.96
446,446;95415;39.96
447,447;95416;46.9
448,448;95417;46.95
449,449;95418;42.96
450,450;95419;39.97
451,451;95420;33.8
452,452;95421;33.08
453,453;95422;32.14
454,454;95423;22. Sep
455,455;95424;13.66
456,456;95425;13.62
457,457;95426;14.66
458,458;95427;13.61
459,459;95428;13.64
460,460;95429;Mai 68
461,461;95430;1.0
462,462;95431;0.5516000000000009
463,463;95432;08. Apr
464,464;95433;Mai 68
465,465;95434;0.5516000000000009
466,466;95435;0.5516000000000009
467,467;95436;0.5516000000000009
468,468;95437;0.5516000000000009
469,469;95438;0.5516000000000009
470,470;95439;0.5516000000000009
471,471;95440;0.5516000000000009
472,472;95441;09. Sep
473,473;95442;08. Jun
474,474;95443;Aug 99
475,475;95444;0.5516000000000009
476,476;95445;0.5516000000000009
477,477;95446;Mrz 45
478,478;95447;0.5516000000000009
479,479;95448;13.56
480,480;95449;Aug 81
481,481;95450;Sep 79
482,482;95451;11. Jan
483,483;95452;Okt 88
484,484;95453;20.0
485,485;95454;38.71
486,486;95455;49.86
487,487;95456;49.4
488,488;95457;46.25
489,489;95458;41.15
490,490;95459;41.61
491,491;95460;41.75
492,492;95461;45.74
493,493;95462;46.91
494,494;95463;48.0
495,495;95464;44.72
496,496;95465;45.56
497,497;95466;38.71
498,498;95467;36.3
499,499;95468;35.75
500,500;95469;32.84
501,501;95470;32.46
502,502;95471;22. Jul
503,503;95472;24. Jan
504,504;95473;27. Nov
505,505;95474;21.49
506,506;95475;21.0
507,507;95476;19.99
508,508;95477;29.38
509,509;95478;33.89
510,510;95479;40.89
511,511;95480;39.43
512,512;95481;37.16
513,513;95482;35.85
514,514;95483;36.35
515,515;95484;37.0
516,516;95485;38.46
517,517;95486;46.02
518,518;95487;51.94
519,519;95488;51.51
520,520;95489;64.2
521,521;95490;54.67
522,522;95491;51.99
523,523;95492;46.98
524,524;95493;38.77
525,525;95494;37.17
526,526;95495;34.8
527,527;95496;34.61
528,528;95497;33.65
529,529;95498;33.46
530,530;95499;32.08
531,531;95500;33.54
532,532;95501;35.38
533,533;95502;46.34
534,534;95503;48.81
535,535;95504;51.1
536,536;95505;53.94
537,537;95506;51.0
538,538;95507;51.95
539,539;95508;49.99
540,540;95509;51.92
541,541;95510;54.98
542,542;95511;58.48
543,543;95512;55.01
544,544;95513;62.0
545,545;95514;52.92
546,546;95515;50.0
547,547;95516;39.13
548,548;95517;37.21
549,549;95518;37.79
550,550;95519;33.99
551,551;95520;32.66
552,552;95521;31.61
553,553;95522;30. Aug
554,554;95523;29.58
555,555;95524;29.76
556,556;95525;32.44
557,557;95526;36.5
558,558;95527;43.12
559,559;95528;45.97
560,560;95529;44.96
561,561;95530;43.69
562,562;95531;44.25
563,563;95532;42.87
564,564;95533;42.91
565,565;95534;42.77
566,566;95535;44.59
